,mean,mean,n_seeds,n_seeds,std,std
model,GCN,MoE-GCN,GCN,MoE-GCN,GCN,MoE-GCN
dataset,,,,,,
ames,0.8409997545505045,0.8408266480641787,3.0,5.0,0.005032049132644956,0.004945946935099334
bbb_martins,0.8587137794454867,0.8545028142589117,3.0,5.0,0.0021361959495173337,0.011200675884997492
bioavailability_ma,0.5971621771422236,0.6192883272364483,3.0,5.0,0.0077485787018296325,0.02724000101893332
caco2_wang,0.4605162388239152,0.3660479032076322,3.0,5.0,0.0777815086832664,0.016179515450839847
clearance_hepatocyte_az,0.3816913817306678,0.33815055246603115,3.0,5.0,0.0008294325782999329,0.02398254199282191
clearance_microsome_az,0.4738744489336133,0.5350019631785123,3.0,5.0,0.04236551302446817,0.022578373101709844
cyp2c9_substrate_carbonmangels,0.6259721468620004,0.6245252306022789,3.0,5.0,0.02576065923244672,0.009430832412118043
cyp2c9_veith,0.8748582113978184,0.8767050850731615,3.0,5.0,0.002309808471751539,0.004625657550977912
cyp2d6_substrate_carbonmangels,0.8023255813953488,0.7782608695652173,3.0,5.0,0.00961618904148453,0.03658527232345446
cyp2d6_veith,0.8533907021300268,0.8328754548933087,3.0,5.0,0.0018917983027145436,0.006348063054710218
cyp3a4_substrate_carbonmangels,0.5899638336347196,0.5580018083182641,3.0,5.0,0.014806324725215977,0.022929215319599235
cyp3a4_veith,0.8739345307707781,0.8899291630398214,3.0,5.0,0.0035041354814467247,0.0029440332039169215
dili,0.9494202898550724,0.9137391304347826,3.0,5.0,0.006941408704248168,0.009654132194609878
half_life_obach,0.31234627885728655,0.1977135327567236,3.0,5.0,0.023901228940955727,0.03241831039329941
herg,0.7358370152184586,0.681620029455081,3.0,5.0,0.01916480056396941,0.018048635434152957
hia_hou,0.9348422496570644,0.9446913580246914,3.0,5.0,0.01994741327694359,0.011999537098671662
ld50_zhu,0.6967739276134274,0.6634551517695633,3.0,5.0,0.008197259918764747,0.024010463658212085
lipophilicity_astrazeneca,0.5942339509230343,0.542255837730509,3.0,5.0,0.007096481710600032,0.0068210394650451275
pgp_broccatelli,0.8884519683639919,0.8925619834710744,3.0,5.0,0.008616430099537957,0.008582452330942514
ppbr_az,9.739646528973992,9.613487967738399,3.0,5.0,0.3404609471319572,0.2733676531168235
solubility_aqsoldb,1.047813100951778,0.9560226175711627,3.0,5.0,0.010043409238222337,0.056965276772981896
vdss_lombardo,0.3843671760527516,0.40861905224660555,3.0,5.0,0.0206523624572289,0.05866143664877157
